((0, 0, 0), (1, 1, 0), (2, 2, 0), (3, 3, 1))
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
[1, 2, 4, 5, 0, 6, 8, 9, 3, 10, 12, 13, 7, 14, 16, 17, 11, 18, 19, 15]
[2, 4, 0, 6, 1, 8, 3, 10, 5, 12, 7, 14, 9, 16, 11, 18, 13, 19, 15, 17]
[3, 9, 18, 7, 16, 13, 2, 11, 19, 17, 6, 15, 4, 1, 10, 0, 8, 5, 14, 12]
[4, 0, 1, 8, 2, 3, 5, 12, 6, 7, 9, 16, 10, 11, 13, 19, 14, 15, 17, 18]
[5, 10, 19, 9, 11, 14, 4, 13, 15, 18, 8, 17, 0, 2, 12, 1, 3, 6, 16, 7]
[6, 12, 15, 10, 13, 16, 0, 14, 17, 19, 3, 18, 1, 4, 7, 2, 5, 8, 11, 9]
[7, 17, 14, 11, 8, 1, 18, 15, 12, 5, 2, 0, 16, 9, 6, 3, 19, 13, 10, 4]
[8, 7, 17, 12, 14, 11, 1, 16, 18, 15, 5, 19, 2, 0, 9, 4, 6, 3, 13, 10]
[9, 18, 16, 13, 3, 2, 19, 17, 7, 6, 4, 1, 11, 10, 8, 5, 15, 14, 12, 0]
[10, 19, 11, 14, 5, 4, 15, 18, 9, 8, 0, 2, 13, 12, 3, 6, 17, 16, 7, 1]
[11, 5, 10, 15, 19, 9, 14, 0, 4, 13, 18, 3, 8, 17, 2, 7, 12, 1, 6, 16]
[12, 15, 13, 16, 6, 0, 17, 19, 10, 3, 1, 4, 14, 7, 5, 8, 18, 11, 9, 2]
[13, 6, 12, 17, 15, 10, 16, 1, 0, 14, 19, 5, 3, 18, 4, 9, 7, 2, 8, 11]
[14, 8, 7, 18, 17, 12, 11, 2, 1, 16, 15, 6, 5, 19, 0, 10, 9, 4, 3, 13]
[15, 13, 6, 0, 12, 17, 10, 3, 16, 1, 14, 7, 19, 5, 18, 11, 4, 9, 2, 8]
[16, 3, 9, 19, 18, 7, 13, 4, 2, 11, 17, 8, 6, 15, 1, 12, 10, 0, 5, 14]
[17, 14, 8, 1, 7, 18, 12, 5, 11, 2, 16, 9, 15, 6, 19, 13, 0, 10, 4, 3]
[18, 16, 3, 2, 9, 19, 7, 6, 13, 4, 11, 10, 17, 8, 15, 14, 1, 12, 0, 5]
[19, 11, 5, 4, 10, 15, 9, 8, 14, 0, 13, 12, 18, 3, 17, 16, 2, 7, 1, 6]

